,P01.mat,P02.mat,P03.mat,P04.mat,P05.mat,P06.mat,P07.mat,P08.mat,P09.mat,P10.mat,S01.mat,S02.mat,S03.mat,S04.mat,S05.mat,S06.mat,S07.mat,S08.mat,S09.mat,S10.mat
alpha_normalized_mean,9.829053847830551e-15,7.69633127041401e-15,2.4362372297067118e-15,1.3731907856624355e-15,2.776001496741752e-14,5.895241894226954e-16,6.83019524790237e-15,5.597927848037407e-15,3.86488969652696e-13,1.7901327187288585e-16,8.53576200603959e-16,4.644873208170374e-15,4.425392833332027e-15,1.5339507028293908e-14,1.8432139096020813e-16,2.313533739846514e-15,3.345915605848949e-14,2.232078109245602e-14,1.139873698657016e-11,6.746581530663677e-15
beta_normalized_mean,7.147977373890572e-15,2.464934752915817e-15,5.365700258641962e-16,1.4112990837578056e-16,2.9994340517226865e-14,1.1858934303401494e-16,4.124676091946023e-15,1.3595877897423968e-15,3.0928888450936374e-13,5.024234203421258e-17,2.888796239621006e-16,1.6318858745141307e-16,3.740028616171097e-16,2.5877450747898656e-15,3.7225421539859336e-17,2.563031520413821e-16,2.3206824205368802e-15,6.785506158047248e-15,3.1922872323667037e-12,4.336991754541947e-15
delta_normalized_mean,1.6156644126779668e-13,4.4317628606370423e-13,1.1982182418212348e-13,1.944707853831348e-14,5.563665967206757e-13,1.1182559289819232e-14,2.0855899206813257e-13,2.2810782026715297e-13,6.9603407905600604e-12,2.241359395457395e-15,4.695675495431233e-15,1.6132026775088405e-15,4.761784766865129e-15,3.518346396173234e-14,9.855701412579982e-16,1.6524811405990501e-15,8.960410135368391e-14,2.6079496944368876e-14,2.798459985182664e-11,3.436100164701306e-14
gamma_normalized_mean,7.189416456658522e-15,1.9146328160292335e-15,3.6511233545226446e-16,5.273494657515757e-17,2.7032617550787046e-14,2.8810176115504003e-17,2.691710374438815e-15,6.953423581517185e-16,2.5764258571360535e-13,2.781524330491406e-17,1.2660673104137262e-16,2.4364392552654886e-17,7.46198416362411e-17,1.3054508053452949e-15,8.289666444624726e-18,9.094588494831026e-17,1.0427923558505925e-15,7.292984911404782e-15,4.4563049164503034e-13,3.794389919437959e-15
tita_normalized_mean,2.75136065069365e-14,1.0957086156536728e-13,8.900232349044733e-15,7.469585402176875e-15,8.202318780725955e-14,1.4499764501416197e-15,4.0122020104564775e-14,4.812527414368219e-14,1.6281494582268033e-12,7.237217135089043e-16,9.773297568422329e-16,7.765649558480512e-16,2.3702455805499846e-15,9.983314940041114e-15,3.7592076347606723e-16,9.41873058874074e-16,9.007273892454745e-15,1.085068078468738e-14,1.6232400177539395e-11,8.244627697457384e-15
alpha_normalized_std,8.601276434418848e-15,7.245699147947255e-15,1.8078683059022063e-15,1.3224458816873754e-15,1.837704878579111e-14,5.445181456897278e-16,5.564076904192932e-15,6.262231537381675e-15,4.588289957917434e-13,1.6452448860453024e-16,7.862430490439794e-16,3.170575832351916e-15,3.812965010917879e-15,1.1927646777177712e-14,1.7760581582287477e-16,3.176615129830901e-15,2.3102881135904533e-14,1.9771953253364783e-14,1.1393290592639891e-11,7.135851263830304e-15
beta_normalized_std,1.036840889069924e-14,1.9955567087453367e-15,4.019013807353245e-16,1.1778161796872667e-16,2.0051024638923415e-14,1.609343064620575e-16,2.878844324365554e-15,1.6144300707860118e-15,2.1593537813116674e-13,8.78279983243588e-17,1.7841435915567483e-16,8.233855120377301e-17,1.9670437402721124e-16,2.4371147746315237e-15,2.1498368553608417e-17,2.513845076145465e-16,1.0668886236922182e-15,3.244385038271939e-15,3.3131917456536854e-12,1.1151181265020718e-14
delta_normalized_std,2.1069882429203167e-13,3.9034341145549554e-13,1.305634933560283e-13,2.5140676114023005e-14,5.56492892123931e-13,2.0892658057260868e-14,1.9808298540653745e-13,3.6245645775902263e-13,1.2534650361479603e-11,2.163833280476833e-15,5.166451208811936e-15,3.040417290972725e-15,7.223870353797995e-15,5.5298493053444116e-14,1.7652895044253115e-15,2.2360738004028407e-15,1.1463671497549434e-13,2.5574679997988977e-14,6.57272378804269e-11,4.74510699291744e-14
gamma_normalized_std,1.575600314316059e-14,2.1244340461690774e-15,3.2499943708647414e-16,6.826292949770192e-17,2.2470100376411796e-14,3.9561942570951053e-17,2.57525832679948e-15,1.291105428953603e-15,2.1100420702001472e-13,7.906669798926541e-17,7.827301995293565e-17,1.3054564374781401e-17,1.1000403679263135e-16,1.989156984271799e-15,4.776577857316884e-18,1.5483472081001424e-16,6.555302180683109e-16,4.883094133980303e-15,2.699511088005865e-13,1.465400079119737e-14
tita_normalized_std,2.7124927487578314e-14,1.105409036855109e-13,6.849912156997272e-15,6.396895505024253e-15,5.999227515959098e-14,2.0840218520837177e-15,3.762170852747458e-14,6.531492937044768e-14,2.3013884746378836e-12,5.904274668985451e-16,7.578345772674506e-16,6.779891617520482e-16,2.165439015680621e-15,7.922286576187842e-15,5.65959108330868e-16,8.266030140144268e-16,8.781495064210452e-15,8.315752618900248e-15,1.700583125171441e-11,8.93105165347385e-15
